"","secao","nome_secao","divisao","nome_divisao","notas_explicativas"
"1","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","Esta seção compreende a exploração ordenada dos recursos naturais vegetais e animais em ambiente natural e protegido, o que abrange as atividades de cultivo agrícola, de criação e produção animal; de cultivo de espécies florestais para produção de madeira, celulose e para proteção ambiental; de extração de madeira em florestas nativas, de coleta de produtos vegetais e de exploração de animais silvestres em seus habitats naturais; a pesca extrativa de peixes, crustáceos e moluscos e a coleta de produtos aquáticos, assim como a aqüicultura - criação e cultivo de animais e produtos do meio aquático. Também fazem parte da seção A o cultivo de produtos agrícolas e a criação de animais modificados geneticamente.Esta seção compreende também os serviços de apoio às unidades de produção nas atividades nela contida."
"2","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","02","PRODUÇÃO FLORESTAL","Esta seção compreende a exploração ordenada dos recursos naturais vegetais e animais em ambiente natural e protegido, o que abrange as atividades de cultivo agrícola, de criação e produção animal; de cultivo de espécies florestais para produção de madeira, celulose e para proteção ambiental; de extração de madeira em florestas nativas, de coleta de produtos vegetais e de exploração de animais silvestres em seus habitats naturais; a pesca extrativa de peixes, crustáceos e moluscos e a coleta de produtos aquáticos, assim como a aqüicultura - criação e cultivo de animais e produtos do meio aquático. Também fazem parte da seção A o cultivo de produtos agrícolas e a criação de animais modificados geneticamente.Esta seção compreende também os serviços de apoio às unidades de produção nas atividades nela contida."
"3","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","03","PESCA E AQÜICULTURA","Esta seção compreende a exploração ordenada dos recursos naturais vegetais e animais em ambiente natural e protegido, o que abrange as atividades de cultivo agrícola, de criação e produção animal; de cultivo de espécies florestais para produção de madeira, celulose e para proteção ambiental; de extração de madeira em florestas nativas, de coleta de produtos vegetais e de exploração de animais silvestres em seus habitats naturais; a pesca extrativa de peixes, crustáceos e moluscos e a coleta de produtos aquáticos, assim como a aqüicultura - criação e cultivo de animais e produtos do meio aquático. Também fazem parte da seção A o cultivo de produtos agrícolas e a criação de animais modificados geneticamente.Esta seção compreende também os serviços de apoio às unidades de produção nas atividades nela contida."
"4","B","INDÚSTRIAS EXTRATIVAS","05","EXTRAÇÃO DE CARVÃO MINERAL","Esta seção compreende as atividades de extração de minerais em estado natural: sólidos (carvão e outros minérios), líquidos (petróleo cru) e gasosos (gás natural), podendo realizar-se em minas subterrâneas, a céu aberto ou em poços. Inclui as atividades complementares de beneficiamento associado à extração, realizadas principalmente para melhorar a qualidade do produto e facilitar a comercialização, desde que o beneficiamento não altere as características físicas ou químicas dos minerais. As atividades de beneficiamento são, geralmente, executadas pela empresa mineradora junto ao local da extração. São consideradas atividades de beneficiamento: trituração, classificação, concentração, pulverização, flotação, liquefação de gás natural, etc.As atividades extrativas são classificadas nas divisões, grupos e subclasses de acordo com o principal mineral produzido.Esta seção compreende também os serviços industriais realizados sob contrato que fazem parte do processo produtivo das atividades desta seção, particularmente na extração de petróleo, e as atividades especializadas de apoio à exploração mineral.Esta seção não compreende o beneficiamento de minerais não-metálicos executado fora do local da extração (seção C); a preparação do terreno para extração de minerais (seção F) e os estudos geofísicos, geológicos e semelhantes (seção M)."
"5","B","INDÚSTRIAS EXTRATIVAS","06","EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL","Esta seção compreende as atividades de extração de minerais em estado natural: sólidos (carvão e outros minérios), líquidos (petróleo cru) e gasosos (gás natural), podendo realizar-se em minas subterrâneas, a céu aberto ou em poços. Inclui as atividades complementares de beneficiamento associado à extração, realizadas principalmente para melhorar a qualidade do produto e facilitar a comercialização, desde que o beneficiamento não altere as características físicas ou químicas dos minerais. As atividades de beneficiamento são, geralmente, executadas pela empresa mineradora junto ao local da extração. São consideradas atividades de beneficiamento: trituração, classificação, concentração, pulverização, flotação, liquefação de gás natural, etc.As atividades extrativas são classificadas nas divisões, grupos e subclasses de acordo com o principal mineral produzido.Esta seção compreende também os serviços industriais realizados sob contrato que fazem parte do processo produtivo das atividades desta seção, particularmente na extração de petróleo, e as atividades especializadas de apoio à exploração mineral.Esta seção não compreende o beneficiamento de minerais não-metálicos executado fora do local da extração (seção C); a preparação do terreno para extração de minerais (seção F) e os estudos geofísicos, geológicos e semelhantes (seção M)."
"6","B","INDÚSTRIAS EXTRATIVAS","07","EXTRAÇÃO DE MINERAIS METÁLICOS","Esta seção compreende as atividades de extração de minerais em estado natural: sólidos (carvão e outros minérios), líquidos (petróleo cru) e gasosos (gás natural), podendo realizar-se em minas subterrâneas, a céu aberto ou em poços. Inclui as atividades complementares de beneficiamento associado à extração, realizadas principalmente para melhorar a qualidade do produto e facilitar a comercialização, desde que o beneficiamento não altere as características físicas ou químicas dos minerais. As atividades de beneficiamento são, geralmente, executadas pela empresa mineradora junto ao local da extração. São consideradas atividades de beneficiamento: trituração, classificação, concentração, pulverização, flotação, liquefação de gás natural, etc.As atividades extrativas são classificadas nas divisões, grupos e subclasses de acordo com o principal mineral produzido.Esta seção compreende também os serviços industriais realizados sob contrato que fazem parte do processo produtivo das atividades desta seção, particularmente na extração de petróleo, e as atividades especializadas de apoio à exploração mineral.Esta seção não compreende o beneficiamento de minerais não-metálicos executado fora do local da extração (seção C); a preparação do terreno para extração de minerais (seção F) e os estudos geofísicos, geológicos e semelhantes (seção M)."
"7","B","INDÚSTRIAS EXTRATIVAS","08","EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS","Esta seção compreende as atividades de extração de minerais em estado natural: sólidos (carvão e outros minérios), líquidos (petróleo cru) e gasosos (gás natural), podendo realizar-se em minas subterrâneas, a céu aberto ou em poços. Inclui as atividades complementares de beneficiamento associado à extração, realizadas principalmente para melhorar a qualidade do produto e facilitar a comercialização, desde que o beneficiamento não altere as características físicas ou químicas dos minerais. As atividades de beneficiamento são, geralmente, executadas pela empresa mineradora junto ao local da extração. São consideradas atividades de beneficiamento: trituração, classificação, concentração, pulverização, flotação, liquefação de gás natural, etc.As atividades extrativas são classificadas nas divisões, grupos e subclasses de acordo com o principal mineral produzido.Esta seção compreende também os serviços industriais realizados sob contrato que fazem parte do processo produtivo das atividades desta seção, particularmente na extração de petróleo, e as atividades especializadas de apoio à exploração mineral.Esta seção não compreende o beneficiamento de minerais não-metálicos executado fora do local da extração (seção C); a preparação do terreno para extração de minerais (seção F) e os estudos geofísicos, geológicos e semelhantes (seção M)."
"8","B","INDÚSTRIAS EXTRATIVAS","09","ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS","Esta seção compreende as atividades de extração de minerais em estado natural: sólidos (carvão e outros minérios), líquidos (petróleo cru) e gasosos (gás natural), podendo realizar-se em minas subterrâneas, a céu aberto ou em poços. Inclui as atividades complementares de beneficiamento associado à extração, realizadas principalmente para melhorar a qualidade do produto e facilitar a comercialização, desde que o beneficiamento não altere as características físicas ou químicas dos minerais. As atividades de beneficiamento são, geralmente, executadas pela empresa mineradora junto ao local da extração. São consideradas atividades de beneficiamento: trituração, classificação, concentração, pulverização, flotação, liquefação de gás natural, etc.As atividades extrativas são classificadas nas divisões, grupos e subclasses de acordo com o principal mineral produzido.Esta seção compreende também os serviços industriais realizados sob contrato que fazem parte do processo produtivo das atividades desta seção, particularmente na extração de petróleo, e as atividades especializadas de apoio à exploração mineral.Esta seção não compreende o beneficiamento de minerais não-metálicos executado fora do local da extração (seção C); a preparação do terreno para extração de minerais (seção F) e os estudos geofísicos, geológicos e semelhantes (seção M)."
"9","C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","Esta seção compreende as atividades que envolvem a transformação física, química e biológica de materiais, substâncias e componentes com a finalidade de se obterem produtos novos. Os materiais, substâncias e componentes transformados são insumos produzidos nas atividades agrícolas, florestais, de mineração, da pesca e produtos de outras atividades industriais.As atividades da indústria de transformação são, freqüentemente, desenvolvidas em plantas industriais e fábricas, utilizando máquinas movidas por energia motriz e outros equipamentos para manipulação de materiais. É também considerada como atividade industrial a produção manual e artesanal, inclusive quando desenvolvida em domicílios, assim como a venda direta ao consumidor de produtos de produção própria, como, por exemplo, os ateliês de costura. Além da transformação, a renovação e a reconstituição de produtos são, geralmente, consideradas como atividades da indústria (ex.: recauchutagem de pneus).Os produtos novos de um estabelecimento industrial podem estar prontos para consumo ou semi-acabados, para serem usados como matéria-prima em outro estabelecimento da indústria de transformação. Por exemplo: a produção de celulose será matéria-prima para a produção de papel; por sua vez, o papel será matéria-prima para a produção de artefatos.A extensão maior ou menor das transformações numa mesma unidade de produção varia em função de características do tipo de organização da produção, podendo apresentar-se em forma mais ou menos integrada verticalmente ou, ao contrário, através da subcontratação de outras unidades. Tanto as unidades que contratam a terceiros parte ou a totalidade de sua produção (full converter), como as unidades que operam como subcontratadas são classificadas na classe de atividade das unidades que produzem os mesmos bens por conta própria.As indústrias de transformação, em geral, produzem bens tangíveis (mercadorias). Algumas atividades de serviços são também incluídas no seu âmbito, tais como os serviços industriais, a montagem de componentes de produtos industriais, a instalação de máquinas e equipamentos e os serviços de manutenção e reparação. Em alguns casos, a dificuldade de estabelecimento de limites na extensão de determinadas atividades leva à adoção de convenções. Alguns desses casos serão mencionados adiante.Os serviços industriais (serviços de acabamento em produtos têxteis, tratamento de metais, etc.) constituem parte integrante da cadeia de transformação dos bens e exigem equipamentos, técnicas e habilidade específica características do processo industrial, e tanto podem ser realizados em unidades integradas como em unidades especializadas. Como classe específica na CNAE, só são identificados os serviços industriais mais importantes e somente quando são exercidos sob contrato.A montagem das partes componentes de produtos industriais, tanto de componentes de produção própria como de terceiros, é considerada uma atividade industrial. A montagem de componentes pré-fabricados em obras de construção é classificada na indústria se a produção e a montagem são realizadas de forma integrada pela mesma unidade. Se a montagem é realizada por unidade independente especializada, é classificada na atividade de construção (seção F). Assim, a montagem no local da construção de componentes pré-fabricados produzidos por terceiros, tais como as partes integrantes de pontes, de instalações comerciais, de elevadores e de escadas rolantes, de sistemas de refrigeração, de redes elétricas e de telecomunicações e de todo tipo de estrutura, é classificada em construção.A montagem e a instalação de máquinas e equipamentos em unidades da indústria, do comércio e dos serviços, quando realizada por unidades especializadas, são classificadas na divisão 33 (Manutenção, reparação e instalação de máquinas e equipamentos).A montagem e instalação de máquinas e equipamentos realizada como serviço atrelado à venda por parte de unidade industrial, atacadista ou varejista, é classificada junto com a atividade principal da unidade.As unidades que têm como atividade principal serviços de reparação e manutenção de máquinas e equipamentos industriais, comerciais e similares classificam-se em divisão específica (divisão 33). Porém as unidades de manutenção e reparação de computadores e periféricos e as unidades de manutenção e reparação de objetos pessoais e domésticos são classificadas em classes específicas da divisão 95. As unidades com atividade principal de manutenção e reparação de veículos automotores e motocicletas são classificadas em classe específica junto ao comércio de automóveis (divisão 45).A fabricação de peças e acessórios, como regra geral, inclui-se na classe do equipamento a que estão associados às peças e acessórios, com exceção das peças e acessórios de matérias-primas específicas, como, por exemplo, de borracha, de plástico, etc., classificados na divisão referente à transformação dessas matérias-primas (borracha e plástico: divisão 22).A recuperação de desperdícios e resíduos transformados em matérias-primas secundárias é classificada na divisão 38 (Coleta, tratamento e disposição de resíduos; recuperação de materiais). Mesmo envolvendo transformações físicas ou químicas, não é considerada como parte integrante da indústria de transformação. O objetivo primário destas atividades é o tratamento e processamento de desperdícios e resíduos, o que determina sua classificação na seção E. Porém a fabricação de produtos finais novos a partir do processamento de desperdícios é classificada na atividade de fabricação (p.ex.: a produção de prata a partir de desperdícios de filmes é considerado um processo industrial).A fronteira entre a indústria de transformação e outras atividades nem sempre é clara. Como regra geral, as unidades da indústria manufatureira estão envolvidas com a transformação de insumos e materiais em um produto novo. A definição do que seja um produto novo, no entanto, nem sempre é objetiva, o que resulta, em muitos casos, em dificuldades na determinação dos limites do que é considerado uma atividade da indústria de transformação. Trabalha-se, nestes casos, com definições convencionadas, tal como explicitado a seguir.Considera-se como atividade industriais: o resfriamento, pasteurização e empacotamento de leite (divisão 10); a fabricação de alimentos para animais a partir de desperdícios do abate de animais (divisão 10); o tratamento da madeira (divisão 16); a fabricação de massa de concreto preparada (divisão 23); a impressão e correspondentes atividades de suporte (divisão 18), os serviços do laboratórios ópticos (divisão 32); a manutenção e reparação de embarcações (divisão 33); a manutenção e reparação de veículos ferroviários e de aeronaves (divisão 33).Por outro lado não são consideradas atividades industriais: o beneficiamento de minerais em continuação à extração (seção B - divisões 07 e 08); a montagem de estruturas no local da construção, quando não realizada pelo fabricante (seção F - divisão 42); a fabricação de matérias-primas intermediárias a partir de desperdícios de alimentos e bebidas (seção E - divisão 38); a edição de livros, revistas e jornais, mesmo integrada à impressão (seção J - divisão 58); as atividades de empacotamento ou engarrafamento em lotes menores de produtos alimentícios e outros, realizadas pela unidade de comércio atacadista e varejista (seção G - divisões 46 e 47) e por unidades especializadas na prestação destes serviços para terceiros (seção N - divisão 82); a montagem de computadores para o cliente como serviço atrelado à venda pelo comércio (seção G - divisão 47); o corte de metal, madeira, vidro e outros materiais para atendimento às necessidades do cliente no comércio atacadista e varejista (seção G - divisões 46 e 47).As divisões na seção Indústrias de transformação, em número de 24, refletem em geral diferenças em processo de produção relativos a tipos de insumo, equipamentos da produção e especialidade/qualificação de mão-de-obra."
"10","C","INDÚSTRIAS DE TRANSFORMAÇÃO","11","FABRICAÇÃO DE BEBIDAS","Esta seção compreende as atividades que envolvem a transformação física, química e biológica de materiais, substâncias e componentes com a finalidade de se obterem produtos novos. Os materiais, substâncias e componentes transformados são insumos produzidos nas atividades agrícolas, florestais, de mineração, da pesca e produtos de outras atividades industriais.As atividades da indústria de transformação são, freqüentemente, desenvolvidas em plantas industriais e fábricas, utilizando máquinas movidas por energia motriz e outros equipamentos para manipulação de materiais. É também considerada como atividade industrial a produção manual e artesanal, inclusive quando desenvolvida em domicílios, assim como a venda direta ao consumidor de produtos de produção própria, como, por exemplo, os ateliês de costura. Além da transformação, a renovação e a reconstituição de produtos são, geralmente, consideradas como atividades da indústria (ex.: recauchutagem de pneus).Os produtos novos de um estabelecimento industrial podem estar prontos para consumo ou semi-acabados, para serem usados como matéria-prima em outro estabelecimento da indústria de transformação. Por exemplo: a produção de celulose será matéria-prima para a produção de papel; por sua vez, o papel será matéria-prima para a produção de artefatos.A extensão maior ou menor das transformações numa mesma unidade de produção varia em função de características do tipo de organização da produção, podendo apresentar-se em forma mais ou menos integrada verticalmente ou, ao contrário, através da subcontratação de outras unidades. Tanto as unidades que contratam a terceiros parte ou a totalidade de sua produção (full converter), como as unidades que operam como subcontratadas são classificadas na classe de atividade das unidades que produzem os mesmos bens por conta própria.As indústrias de transformação, em geral, produzem bens tangíveis (mercadorias). Algumas atividades de serviços são também incluídas no seu âmbito, tais como os serviços industriais, a montagem de componentes de produtos industriais, a instalação de máquinas e equipamentos e os serviços de manutenção e reparação. Em alguns casos, a dificuldade de estabelecimento de limites na extensão de determinadas atividades leva à adoção de convenções. Alguns desses casos serão mencionados adiante.Os serviços industriais (serviços de acabamento em produtos têxteis, tratamento de metais, etc.) constituem parte integrante da cadeia de transformação dos bens e exigem equipamentos, técnicas e habilidade específica características do processo industrial, e tanto podem ser realizados em unidades integradas como em unidades especializadas. Como classe específica na CNAE, só são identificados os serviços industriais mais importantes e somente quando são exercidos sob contrato.A montagem das partes componentes de produtos industriais, tanto de componentes de produção própria como de terceiros, é considerada uma atividade industrial. A montagem de componentes pré-fabricados em obras de construção é classificada na indústria se a produção e a montagem são realizadas de forma integrada pela mesma unidade. Se a montagem é realizada por unidade independente especializada, é classificada na atividade de construção (seção F). Assim, a montagem no local da construção de componentes pré-fabricados produzidos por terceiros, tais como as partes integrantes de pontes, de instalações comerciais, de elevadores e de escadas rolantes, de sistemas de refrigeração, de redes elétricas e de telecomunicações e de todo tipo de estrutura, é classificada em construção.A montagem e a instalação de máquinas e equipamentos em unidades da indústria, do comércio e dos serviços, quando realizada por unidades especializadas, são classificadas na divisão 33 (Manutenção, reparação e instalação de máquinas e equipamentos).A montagem e instalação de máquinas e equipamentos realizada como serviço atrelado à venda por parte de unidade industrial, atacadista ou varejista, é classificada junto com a atividade principal da unidade.As unidades que têm como atividade principal serviços de reparação e manutenção de máquinas e equipamentos industriais, comerciais e similares classificam-se em divisão específica (divisão 33). Porém as unidades de manutenção e reparação de computadores e periféricos e as unidades de manutenção e reparação de objetos pessoais e domésticos são classificadas em classes específicas da divisão 95. As unidades com atividade principal de manutenção e reparação de veículos automotores e motocicletas são classificadas em classe específica junto ao comércio de automóveis (divisão 45).A fabricação de peças e acessórios, como regra geral, inclui-se na classe do equipamento a que estão associados às peças e acessórios, com exceção das peças e acessórios de matérias-primas específicas, como, por exemplo, de borracha, de plástico, etc., classificados na divisão referente à transformação dessas matérias-primas (borracha e plástico: divisão 22).A recuperação de desperdícios e resíduos transformados em matérias-primas secundárias é classificada na divisão 38 (Coleta, tratamento e disposição de resíduos; recuperação de materiais). Mesmo envolvendo transformações físicas ou químicas, não é considerada como parte integrante da indústria de transformação. O objetivo primário destas atividades é o tratamento e processamento de desperdícios e resíduos, o que determina sua classificação na seção E. Porém a fabricação de produtos finais novos a partir do processamento de desperdícios é classificada na atividade de fabricação (p.ex.: a produção de prata a partir de desperdícios de filmes é considerado um processo industrial).A fronteira entre a indústria de transformação e outras atividades nem sempre é clara. Como regra geral, as unidades da indústria manufatureira estão envolvidas com a transformação de insumos e materiais em um produto novo. A definição do que seja um produto novo, no entanto, nem sempre é objetiva, o que resulta, em muitos casos, em dificuldades na determinação dos limites do que é considerado uma atividade da indústria de transformação. Trabalha-se, nestes casos, com definições convencionadas, tal como explicitado a seguir.Considera-se como atividade industriais: o resfriamento, pasteurização e empacotamento de leite (divisão 10); a fabricação de alimentos para animais a partir de desperdícios do abate de animais (divisão 10); o tratamento da madeira (divisão 16); a fabricação de massa de concreto preparada (divisão 23); a impressão e correspondentes atividades de suporte (divisão 18), os serviços do laboratórios ópticos (divisão 32); a manutenção e reparação de embarcações (divisão 33); a manutenção e reparação de veículos ferroviários e de aeronaves (divisão 33).Por outro lado não são consideradas atividades industriais: o beneficiamento de minerais em continuação à extração (seção B - divisões 07 e 08); a montagem de estruturas no local da construção, quando não realizada pelo fabricante (seção F - divisão 42); a fabricação de matérias-primas intermediárias a partir de desperdícios de alimentos e bebidas (seção E - divisão 38); a edição de livros, revistas e jornais, mesmo integrada à impressão (seção J - divisão 58); as atividades de empacotamento ou engarrafamento em lotes menores de produtos alimentícios e outros, realizadas pela unidade de comércio atacadista e varejista (seção G - divisões 46 e 47) e por unidades especializadas na prestação destes serviços para terceiros (seção N - divisão 82); a montagem de computadores para o cliente como serviço atrelado à venda pelo comércio (seção G - divisão 47); o corte de metal, madeira, vidro e outros materiais para atendimento às necessidades do cliente no comércio atacadista e varejista (seção G - divisões 46 e 47).As divisões na seção Indústrias de transformação, em número de 24, refletem em geral diferenças em processo de produção relativos a tipos de insumo, equipamentos da produção e especialidade/qualificação de mão-de-obra."
