"secao","nome_secao","divisao","nome_divisao","grupo","nome_grupo","classe","nome_classe","subclasse","nome_subclasse","notas_explicativas"
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","0111301","-/ Cultivo de arroz","Esta subclasse compreende:- o cultivo de arroz Esta subclasse compreende também:- o beneficiamento de arroz em estabelecimento agrícola, quando atividade complementar ao cultivo- a produção de sementes de arroz, quando atividade complementar ao cultivo Esta subclasse não compreende: - a produção de sementes certificadas de arroz, inclusive modificadas geneticamente (0141-5/01) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - o beneficiamento de arroz realizado no estabelecimento agrícola sob contrato (0163-6/00) - a produção de óleo de arroz em bruto (1041-4/00) - o beneficiamento de arroz em estabelecimento não-agrícola (1061-9/01)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","0111302","-/ Cultivo de milho","Esta subclasse compreende:- o cultivo de milho Esta subclasse compreende também:- o beneficiamento de milho em estabelecimento agrícola, quando atividade complementar ao cultivo- a produção de sementes de milho, quando atividade complementar ao cultivo Esta subclasse não compreende: - o cultivo de milho forrageiro (0119-9/99) - a produção de sementes certificadas de milho, inclusive modificadas geneticamente (0141-5/01) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - o beneficiamento de milho realizado em estabelecimento agrícola sob contrato (0163-6/00) - a moagem e a fabricação de farinha de milho (fubá) e derivados (1064-3/00) - a fabricação de óleo de milho em bruto (1065-1/02) - a fabricação de biocombustível (1932-2/00)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","0111303","-/ Cultivo de trigo","Esta subclasse compreende:- o cultivo de trigo Esta subclasse compreende também:- o beneficiamento do trigo em estabelecimento agrícola, quando atividade complementar ao cultivo- a produção de sementes de trigo, quando atividade complementar ao cultivo Esta subclasse não compreende: - o cultivo de trigo preto (0111-3/99) - a produção de sementes certificadas de trigo, inclusive modificadas geneticamente (0141-5/01) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - o beneficiamento de trigo realizado em estabelecimento agrícola sob contrato (0163-6/00) - a moagem do trigo e a produção de derivados (1062-7/00)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","0111399","-/ Cultivo de outros cereais não especificados anteriormente","Esta subclasse compreende:- o cultivo de cereais: alpiste, aveia, centeio, cevada, milheto, painço, sorgo, trigo preto, triticale e outros cereais não especificados anteriormente Esta subclasse compreende também:- o beneficiamento de cereais desta subclasse em estabelecimento agrícola, quando atividade complementar ao cultivo- a produção de sementes de cereais desta subclasse, quando atividade complementar ao cultivo Esta subclasse não compreende: - o cultivo de arroz (0111-3/01) - o cultivo de milho (0111-3/02) - o cultivo de trigo (0111-3/03) - a produção de sementes certificadas dos cereais desta subclasse, inclusive modificadas geneticamente (0141-5/01) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (0163-6/00) - a moagem e a fabricação de produtos derivados dos cereais desta subclasse em estabelecimento não-agrícola (1069-4/00)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.121",".- Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112101","-/ Cultivo de algodão herbáceo","Esta subclasse compreende:- o cultivo de algodão herbáceo Esta subclasse compreende também:- o descaroçamento do algodão, quando atividade complementar ao cultivo- a produção de sementes de algodão, quando atividade complementar ao cultivo Esta subclasse não compreende: - o cultivo de algodão arbóreo (0139-3/99) - a produção de sementes certificadas de algodão, inclusive modificadas geneticamente (0141-5/01) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - o serviço de descaroçamento de algodão em estabelecimento agrícola realizado sob contrato (0163-6/00) - a preparação do algodão em estabelecimento não-agrícola (1311-1/00) - a tecelagem de fios de algodão (1321-9/00)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.121",".- Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112102","-/ Cultivo de juta","Esta subclasse compreende:- o cultivo de juta Esta subclasse compreende também:- a produção de sementes de juta, quando atividade complementar ao cultivo- o processo de maceração e secagem da fibra Esta subclasse não compreende: - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - a produção de sementes certificadas de juta, inclusive modificadas geneticamente (0141-5/01) - a preparação da juta, em estabelecimento não-agrícola (1312-0/00)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.121",".- Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112199","-/ Cultivo de outras fibras de lavoura temporária não especificadas anteriormente","Esta subclasse compreende:- o cultivo de outras fibras de lavoura temporária: junco, linho, malva, rami, sorgo vassoura e outras fibras de lavoura temporária não especificadas anteriormente Esta subclasse compreende também:- a produção de sementes das fibras desta subclasse, quando atividade complementar ao cultivo Esta subclasse não compreende: - o cultivo de algodão herbáceo (0112-1/01) - o cultivo de juta (0112-1/02) - o cultivo de algodão arbóreo (0139-3/99) - a produção de sementes certificadas das fibras desta subclasse, inclusive modificadas geneticamente (0141-5/01) - a produção de mudas certificadas das fibras desta subclasse, inclusive modificadas geneticamente (0142-3/00) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - a preparação das fibras desta subclasse, em estabelecimento não-agrícola (1312-0/00)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.130",".- Cultivo de cana-de-açúcar","0113000","-/ Cultivo de cana de açúcar","Esta subclasse compreende:- o cultivo de cana-de-açúcar Esta subclasse compreende também:- a produção de toletes (mudas) de cana-de-açúcar, quando atividade complementar ao cultivo Esta subclasse não compreende: - a produção de toletes (mudas) certificadas de cana-de-açúcar, inclusive modificadas geneticamente (0142-3/00) - os serviços de preparação de terreno, cultivo e corte da cana realizados sob contrato (0161-0/03) - a produção de açúcar em bruto (usinas de açúcar) (1071-6/00) - a fabricação, refino e moagem de açúcar de cana (1072-4/01) - a produção de álcool de cana (1931-4/00)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.148",".- Cultivo de fumo","0114800","-/ Cultivo de fumo","Esta subclasse compreende:- o cultivo de fumo Esta subclasse compreende também:- o processamento do fumo através de secagem, defumação e outros processos, quando atividade complementar ao cultivo- a produção de semente de fumo, quando atividade complementar ao cultivo Esta subclasse não compreende: - a produção de sementes certificadas de fumo, inclusive modificadas geneticamente (0141-5/01) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - o processamento do fumo através de secagem, defumação e outros processos realizado em unidade industrial (1210-7/00) - a fabricação de produtos do fumo (1220-4/01), (1220-4/02) e (1220-4/99)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.156",".- Cultivo de soja","0115600","-/ Cultivo de soja","Esta subclasse compreende:- o cultivo de soja Esta subclasse compreende também:- a produção de semente de soja, quando atividade complementar ao cultivo Esta subclasse não compreende: - a produção de sementes certificadas de soja, inclusive modificadas geneticamente (0141-5/01) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (0161-0/03) - a produção de óleo de soja em bruto, inclusive torta e farelo (1041-4/00) - o refino de óleo de soja (1042-2/00) - a fabricação de margarinas e gorduras de soja (1043-1/00) - a produção de biocombustível (1932-2/00)  "
